Name,Team,G,PA,H,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Mike Trout,Angels,159,681,173,29,123,100,30,17.00%,20.10%,0.235,0.371,0.315,0.441,0.55,0.418,171,9.3,67.7,0.7,9.4,10155
Kris Bryant,Cubs,155,699,176,39,121,102,8,10.70%,22.00%,0.262,0.332,0.292,0.385,0.554,0.396,149,7.3,49.1,11,8.4,15429
Mookie Betts,Red Sox,158,730,214,31,122,113,26,6.70%,11.00%,0.216,0.322,0.318,0.363,0.534,0.379,135,9.8,40.7,10.6,7.8,13611
Josh Donaldson,Blue Jays,155,700,164,37,122,99,7,15.60%,17.00%,0.265,0.3,0.284,0.404,0.549,0.403,155,0.2,46.3,4.2,7.6,5038
Corey Seager,Dodgers,157,687,193,26,105,72,3,7.90%,19.40%,0.204,0.355,0.308,0.365,0.512,0.372,137,2.6,33.9,17.5,7.5,13624
Jose Altuve,Astros,161,717,216,24,108,96,30,8.40%,9.80%,0.194,0.347,0.338,0.396,0.531,0.391,150,0.2,43.3,-2.5,6.7,5417
Manny Machado,Orioles,157,696,188,37,105,96,0,6.90%,17.20%,0.239,0.309,0.294,0.343,0.533,0.366,129,-0.4,23.7,15.9,6.5,11493
Francisco Lindor,Indians,158,684,182,15,99,78,19,8.30%,12.90%,0.134,0.324,0.301,0.358,0.435,0.34,112,1,10.8,27.7,6.3,12916
Freddie Freeman,Braves,158,693,178,34,102,91,6,12.80%,24.70%,0.267,0.37,0.302,0.4,0.569,0.402,152,1.1,45.5,-7.7,6.1,5361
Adrian Beltre,Rangers,153,640,175,32,89,104,1,7.50%,10.30%,0.221,0.293,0.3,0.358,0.521,0.371,130,-0.8,22.6,15.2,6.1,639
Robinson Cano,Mariners,161,715,195,39,107,103,0,6.60%,14.00%,0.235,0.299,0.298,0.35,0.533,0.37,138,-1.8,30.5,3.4,6,3269
Adam Eaton,White Sox,157,706,176,14,91,59,14,8.90%,16.30%,0.144,0.329,0.284,0.362,0.428,0.344,115,4.4,16.8,18,6,11205
Brian Dozier,Twins,155,691,165,42,104,99,18,8.80%,20.00%,0.278,0.28,0.268,0.34,0.546,0.37,132,5.5,31.9,2.3,5.9,9810
Ian Kinsler,Tigers,153,679,178,28,117,83,14,6.60%,16.90%,0.196,0.314,0.288,0.348,0.484,0.356,123,3.6,22.8,10.6,5.8,6195
Brandon Crawford,Giants,155,623,152,12,67,84,7,9.10%,18.50%,0.156,0.322,0.275,0.342,0.43,0.327,107,3.4,8.4,28,5.8,5343
