Name,Team,G,PA,H,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Devin Mesoraco,Reds,372,1274,268,47,126,159,4,8.60%,20.30%,0.177,0.263,0.236,0.311,0.413,0.315,96,-5.8,-13.4,18.1,4.7,5666
Danny Murtaugh,- - -,767,2937,661,8,263,219,49,9.80%,7.30%,0.063,0.275,0.254,0.331,0.317,0.312,81,8.7,-58.7,12.8,4.7,1009402
Don Johnson,Cubs,511,2102,528,8,219,175,26,5.30%,8.10%,0.065,0.296,0.273,0.315,0.337,0.311,82,4.2,-39.3,18.4,4.7,1006447
Pat Sheridan,- - -,876,2702,611,51,319,257,86,8.70%,18.50%,0.118,0.298,0.253,0.319,0.371,0.31,91,2.2,-26.4,-16.5,4.7,1011872
Ed Gremminger,- - -,383,1547,356,7,140,164,22,5.80%,15.70%,0.089,0.323,0.251,0.301,0.34,0.308,89,-4.9,-25.6,15.8,4.7,1005028
Bill Stein,- - -,959,3067,751,44,268,311,16,6.10%,13.50%,0.103,0.297,0.267,0.313,0.37,0.308,88,-2.7,-44.6,-10.7,4.7,1012463
Bob Dernier,- - -,904,2757,634,23,374,152,218,8.10%,10.90%,0.078,0.282,0.255,0.318,0.333,0.297,80,18,-43.7,0.2,4.7,1003220
John Hatfield,Mutuals,206,1034,282,3,219,144,28,2.20%,1.90%,0.064,0.282,0.279,0.295,0.343,0.294,99,1,0.6,14.1,4.7,1005491
George Strickland,- - -,971,3266,633,36,305,284,12,11.10%,13.90%,0.087,0.254,0.224,0.313,0.311,0.293,73,0.8,-107.2,49.1,4.7,1012615
Jack Brohamer,- - -,805,2794,613,30,262,227,9,7.90%,6.40%,0.082,0.251,0.245,0.305,0.327,0.289,77,-4.3,-74.9,33.9,4.7,1001465
Barry Foote,- - -,687,2300,489,57,191,230,10,5.90%,12.50%,0.138,0.24,0.23,0.277,0.368,0.288,71,-0.1,-75.3,47.8,4.7,1004210
Tony Gwynn,- - -,685,1798,381,7,192,98,80,9.00%,16.50%,0.072,0.287,0.238,0.309,0.31,0.279,73,13.3,-45.7,35.8,4.7,6141
Gus Williams,Browns,410,1560,367,12,171,147,95,8.10%,17.30%,0.112,0.311,0.263,0.327,0.374,0.338,106,3.3,15.3,-25.2,4.6,1014001
Joe Lefebvre,- - -,447,1253,281,31,139,130,11,11.10%,16.30%,0.157,0.29,0.258,0.344,0.414,0.337,113,-1.3,17.1,-14.6,4.6,1007474
Frank Shugart,- - -,745,3278,804,22,483,384,131,6.70%,6.60%,0.111,0.287,0.267,0.323,0.378,0.332,90,0,-59.5,-17.8,4.6,1011941
Fred Lewis,- - -,535,1763,415,27,261,136,53,9.60%,22.10%,0.137,0.337,0.266,0.344,0.403,0.331,100,10.2,11.3,-22.5,4.6,4693
Ed Sprague,- - -,1203,4587,1010,152,506,558,6,7.80%,18.20%,0.172,0.273,0.247,0.318,0.419,0.323,90,-4.1,-65.5,-43.1,4.6,1012356
Jimmy Walsh,- - -,541,2100,410,6,235,150,92,11.90%,10.30%,0.085,0.259,0.232,0.33,0.317,0.32,97,-6.8,-14.2,-12.2,4.6,1013573
Geno Petralli,- - -,809,2131,501,24,184,192,8,10.10%,12.30%,0.092,0.298,0.267,0.344,0.36,0.319,96,-1.6,-11.5,-13.9,4.6,1010244
Cozy Dolan,- - -,830,3487,855,10,428,315,114,6.50%,7.50%,0.064,0.247,0.269,0.322,0.333,0.318,94,-1.5,-30.5,-51.2,4.6,1003360
Trevor Plouffe,- - -,798,3153,698,104,357,372,12,7.50%,20.60%,0.17,0.279,0.244,0.305,0.414,0.313,96,-13.5,-30.4,-31.6,4.6,7462
Ronny Paulino,- - -,573,2032,508,33,181,216,4,7.10%,16.10%,0.104,0.313,0.272,0.324,0.376,0.308,85,-17.1,-55.8,36.8,4.6,2129
John McMullin,- - -,244,1122,308,4,234,137,38,3.60%,3.60%,0.065,0.293,0.285,0.31,0.349,0.306,104,-0.7,5.8,2.2,4.6,1008649
Bert Niehoff,- - -,581,2247,489,12,210,207,71,5.80%,10.80%,0.087,0.268,0.24,0.288,0.327,0.299,83,0,-40.2,12.2,4.6,1009581
Ecky Stearns,- - -,509,2210,491,8,295,173,67,7.80%,13.80%,0.083,0.3,0.242,0.306,0.325,0.298,98,6.1,-0.1,-28,4.6,1012445
Ed Andrews,- - -,774,3436,830,12,602,278,205,5.60%,7.10%,0.063,0.275,0.257,0.301,0.32,0.296,88,11.2,-55.3,-31.1,4.6,1000248
Bill Greenwood,- - -,574,2392,490,8,381,185,194,8.40%,14.90%,0.061,0.265,0.226,0.298,0.287,0.286,84,13.2,-42.2,3.3,4.6,1004984
Mike Mansell,- - -,371,1536,352,9,237,25,,4.00%,18.70%,0.105,0.247,0.239,0.271,0.344,0.279,101,0,3.5,-10.8,4.6,1008078
Kiko Garcia,- - -,619,1595,351,12,162,112,34,6.00%,17.90%,0.084,0.288,0.239,0.286,0.323,0.276,71,-1.8,-55.1,48.1,4.6,1004502
Charlie Bastian,- - -,503,2000,342,11,241,144,57,9.00%,16.30%,0.074,0.226,0.189,0.268,0.264,0.261,71,-4.1,-94.5,56.1,4.6,1000649
Jake Evans,- - -,472,1898,435,1,215,168,,3.30%,9.50%,0.063,0.264,0.238,0.264,0.3,0.26,84,0,-45.3,21,4.6,1003866
Vern Law,Pirates,516,1000,191,11,96,90,1,4.10%,17.90%,0.093,0.257,0.216,0.254,0.309,0.255,53,0.5,-56.9,67.7,4.6,1007410
Kosuke Fukudome,- - -,596,2276,498,42,264,195,29,13.50%,17.70%,0.136,0.303,0.258,0.359,0.395,0.336,102,-8.2,-3.6,-24.4,4.5,3263
Allen Craig,- - -,534,2013,506,59,239,296,11,7.10%,19.60%,0.158,0.32,0.276,0.333,0.435,0.336,113,-17.1,13.4,-31.5,4.5,3433
Jeff Frye,- - -,667,2451,626,16,316,194,56,8.60%,11.40%,0.095,0.324,0.29,0.357,0.386,0.334,94,0.1,-19.9,-18.9,4.5,1004378
Mike Blowers,- - -,761,2585,591,78,290,365,7,9.60%,23.60%,0.159,0.315,0.257,0.329,0.416,0.329,97,-2.2,-9.7,-28.9,4.5,1001088
Norm Larker,- - -,667,2229,538,32,227,271,3,9.50%,7.40%,0.114,0.284,0.275,0.347,0.39,0.329,98,-0.6,-5.6,-24.6,4.5,1007343
Justin Ruggiano,- - -,483,1479,343,53,164,163,40,7.70%,26.60%,0.178,0.322,0.256,0.318,0.434,0.329,108,-7.1,6.9,-10,4.5,7620
Mike McCormick,- - -,748,2588,640,14,302,215,16,7.30%,6.70%,0.086,0.293,0.275,0.33,0.361,0.325,91,1.3,-28.2,-8.1,4.5,1008419
Mitch Moreland,- - -,866,3135,712,122,342,397,8,8.00%,21.60%,0.183,0.288,0.252,0.317,0.435,0.324,98,-9.2,-17.5,-43.6,4.5,3086
Bert Haas,- - -,720,2674,644,22,263,263,51,7.60%,7.00%,0.091,0.279,0.264,0.323,0.355,0.322,91,9.2,-18.5,-19.6,4.5,1005168
Marwin Gonzalez,Astros,596,1933,473,55,221,192,31,5.60%,19.50%,0.152,0.31,0.266,0.313,0.418,0.318,101,-11.6,-8.8,-11.4,4.5,5497
Geoff Blum,- - -,1389,4393,990,99,446,479,19,7.60%,15.20%,0.134,0.275,0.25,0.31,0.384,0.303,80,-5.1,-119.5,22,4.5,550
Jose Lopez,- - -,1036,4089,1005,92,421,480,25,3.70%,11.50%,0.134,0.276,0.262,0.292,0.395,0.298,82,-22.2,-112.8,19,4.5,3114
Sam Trott,- - -,360,1412,338,3,166,123,9,3.80%,7.50%,0.093,0.253,0.25,0.28,0.343,0.287,94,-4.3,-18.4,13,4.5,1013194
Fred Corey,- - -,432,1803,427,7,239,124,,3.30%,11.10%,0.102,0.247,0.246,0.273,0.348,0.283,93,0,-17.1,1.5,4.5,1002625
Doc Bushong,- - -,672,2527,514,2,287,184,39,4.90%,7.30%,0.038,0.21,0.214,0.255,0.252,0.242,67,-3.7,-129.1,74.2,4.5,1001755
Dick Kokos,Browns,475,1816,410,59,239,223,15,13.30%,13.90%,0.178,0.281,0.263,0.365,0.441,0.372,105,-6,6.5,-24.6,4.4,1007083
Earl Averill,- - -,449,1217,249,44,137,159,3,13.30%,18.10%,0.168,0.263,0.242,0.346,0.409,0.339,103,-0.2,5.4,-1.2,4.4,1000379
Bubba Morton,- - -,451,1065,248,14,117,128,7,10.40%,13.40%,0.102,0.302,0.267,0.351,0.37,0.329,109,-0.8,9.3,2.1,4.4,1009229
Grover Hartley,- - -,569,1494,353,3,135,144,29,8.50%,6.50%,0.069,0.287,0.268,0.339,0.337,0.328,92,3.5,-12.7,5.9,4.4,1005450
Willie Greene,- - -,655,2183,446,86,254,307,17,11.90%,21.90%,0.188,0.266,0.234,0.326,0.423,0.328,94,0.9,-17.3,-9.2,4.4,1005015
Eric McNair,- - -,1251,4869,1240,82,592,633,59,5.40%,6.70%,0.118,0.282,0.274,0.318,0.392,0.326,79,-13.6,-154.1,24.5,4.4,1008654
Dustan Mohr,- - -,504,1537,340,49,203,156,13,9.20%,25.60%,0.173,0.312,0.249,0.322,0.422,0.324,92,1.8,-13.3,5.9,4.4,744
Pat Kelly,- - -,681,2237,495,36,253,217,61,6.50%,19.00%,0.12,0.296,0.249,0.307,0.369,0.303,82,0,-50,19.4,4.4,1006812
Dave Rowe,- - -,347,1501,383,8,223,90,4,2.80%,10.20%,0.113,0.258,0.263,0.284,0.376,0.3,105,-3.1,6.6,-20.5,4.4,1011252
Mike Fitzgerald,- - -,848,2667,545,48,220,293,31,10.90%,16.20%,0.111,0.267,0.235,0.321,0.346,0.3,87,-2.6,-43.8,-3.8,4.4,1004114
Jack Hannahan,- - -,614,1877,381,29,167,175,6,10.30%,23.40%,0.115,0.295,0.231,0.314,0.346,0.296,82,-6.8,-47.2,27.8,4.4,3692
Chuck Carr,- - -,507,1914,435,13,254,123,144,7.80%,14.30%,0.078,0.294,0.254,0.316,0.332,0.295,75,6.6,-54.1,32.6,4.4,1001986
Pat Borders,- - -,1099,3499,831,69,289,346,9,4.40%,15.90%,0.122,0.285,0.253,0.288,0.375,0.294,76,-5.3,-110.8,36.6,4.4,1068
Gerald Young,- - -,640,2083,446,3,259,113,155,10.90%,10.20%,0.058,0.274,0.246,0.329,0.304,0.294,87,1.3,-29.1,5.4,4.4,1014376
Oscar Walker,- - -,282,1165,287,11,155,51,0,2.90%,13.00%,0.111,0.297,0.254,0.278,0.365,0.29,106,0,10.7,-4.6,4.4,1013530
Pat Deasley,- - -,402,1519,358,0,161,120,7,3.20%,8.50%,0.038,0.276,0.244,0.271,0.282,0.259,82,-3.3,-41.2,31.9,4.4,1003116
Jim Greengrass,- - -,504,1976,482,69,243,282,6,8.40%,13.70%,0.179,0.282,0.269,0.33,0.448,0.349,101,-1,1.5,-19.9,4.3,1005000
Babe Dahlgren,- - -,1137,4506,1056,82,470,569,18,8.70%,8.90%,0.122,0.273,0.261,0.329,0.383,0.335,93,-3.2,-47.9,-58.8,4.3,1002925
Marv Owen,- - -,1011,4224,1040,31,473,497,30,8.00%,6.70%,0.092,0.291,0.275,0.339,0.367,0.33,81,-8.9,-118.5,9.7,4.3,1009918
Frank Killen,- - -,335,1147,241,11,151,127,9,11.40%,19.90%,0.095,0.302,0.241,0.335,0.337,0.33,88,-8,-29.2,34.3,4.3,1006904
Bobby Darwin,- - -,646,2436,559,83,250,328,15,6.60%,23.70%,0.161,0.302,0.251,0.311,0.412,0.329,105,0.1,11.9,-50.8,4.3,1002995
Luis Polonia,- - -,1379,5296,1417,36,728,405,321,7.00%,10.30%,0.09,0.321,0.293,0.342,0.383,0.325,98,3.5,-14.4,-120.8,4.3,1010427
Frank Torre,- - -,714,1703,404,13,150,179,4,9.10%,3.80%,0.099,0.275,0.273,0.349,0.372,0.323,101,1.3,3.7,-16.6,4.3,1013130
Jerome Walton,- - -,598,1761,423,25,241,132,58,7.80%,15.90%,0.107,0.31,0.269,0.333,0.376,0.321,95,-0.7,-10.6,-5.4,4.3,1013593
Al Evans,- - -,704,2322,514,13,188,211,14,10.50%,8.90%,0.075,0.273,0.25,0.332,0.326,0.316,82,-1.7,-53.4,17,4.3,1003857
Jerald Clark,- - -,515,1728,414,44,170,208,17,4.80%,17.10%,0.151,0.289,0.257,0.301,0.408,0.315,89,0,-21.5,8.5,4.3,1002289
Al Todd,- - -,863,2939,768,35,286,366,18,3.50%,8.30%,0.101,0.292,0.276,0.307,0.377,0.314,78,2.5,-74.1,25.1,4.3,1013094
Bob Jones,Tigers,853,3366,791,7,399,316,49,6.20%,4.60%,0.073,0.277,0.265,0.314,0.337,0.309,74,-1.4,-116,42.9,4.3,1006530
Chippy McGarr,- - -,826,3473,872,9,537,388,267,5.30%,6.50%,0.061,0.285,0.268,0.31,0.329,0.306,74,18.5,-134.4,35.4,4.3,1008502
Tom Poorman,- - -,496,2161,498,12,396,172,165,4.70%,13.80%,0.092,0.274,0.244,0.285,0.335,0.29,91,15.5,-14.6,-23.5,4.3,1010438
Jerry McNertney,- - -,590,1605,337,27,129,163,3,7.40%,12.40%,0.101,0.256,0.237,0.298,0.338,0.287,80,-0.9,-37.3,30.9,4.3,1008669
Jack Coombs,- - -,460,1199,261,4,123,100,21,4.90%,13.40%,0.059,0.245,0.235,0.278,0.295,0.281,75,-2.9,-33.5,36.5,4.3,1002583
Marc Hill,- - -,737,2047,404,34,146,198,1,9.00%,11.90%,0.094,0.239,0.223,0.295,0.317,0.277,68,-2.2,-78.9,55.4,4.3,1005828
Dizzy Trout,- - -,533,1047,205,20,99,110,7,5.60%,21.60%,0.106,0.259,0.213,0.26,0.319,0.273,54,0.4,-59.6,65.9,4.3,1013196
Art Griggs,- - -,442,1515,379,5,127,152,36,6.90%,8.30%,0.093,0.344,0.277,0.332,0.37,0.341,111,-2.3,15.5,-25.3,4.2,1005055
Mark Carreon,- - -,738,2191,557,69,246,289,12,6.40%,11.20%,0.162,0.285,0.277,0.327,0.438,0.338,108,-2.6,18.8,-49.2,4.2,1001989
Brady Clark,- - -,785,2322,559,36,264,210,48,9.00%,10.90%,0.109,0.3,0.277,0.358,0.386,0.331,97,-11.7,-21.3,-12.5,4.2,1398
Hugh High,- - -,516,1834,386,3,176,123,56,11.60%,9.20%,0.068,0.279,0.25,0.345,0.318,0.328,100,-2.5,-1.9,-19.6,4.2,1005798
Garrett Jones,- - -,911,3228,734,122,347,400,28,8.20%,21.10%,0.194,0.284,0.251,0.312,0.445,0.327,106,-9.5,13.6,-73.1,4.2,2714
Bama Rowell,- - -,574,2043,523,19,200,217,37,5.50%,5.10%,0.107,0.284,0.275,0.316,0.382,0.324,92,6.6,-13.3,-9.7,4.2,1011257
Lou Clinton,- - -,691,2379,532,65,270,269,12,7.90%,17.60%,0.171,0.277,0.247,0.308,0.418,0.32,97,0.2,-7.2,-17.3,4.2,1002358
Rick Ankiel,- - -,653,2115,462,76,260,251,21,7.70%,26.20%,0.182,0.296,0.24,0.302,0.422,0.314,91,4.4,-17.6,-8.7,4.2,1142
Davey Williams,Giants,517,1993,450,32,235,163,6,8.20%,7.20%,0.099,0.259,0.252,0.32,0.351,0.313,81,-2,-50.9,29,4.2,1013984
Josh Bard,- - -,586,1981,452,39,162,220,1,8.80%,15.10%,0.13,0.284,0.254,0.32,0.385,0.31,89,-19.1,-44.5,22,4.2,1578
Wilmer Flores,Mets,420,1461,358,48,158,178,3,4.80%,13.60%,0.157,0.273,0.262,0.299,0.419,0.309,96,-3.8,-10.2,4.5,4.2,5827
Dutch Ruether,- - -,488,1070,250,7,83,111,3,7.20%,12.10%,0.077,0.292,0.258,0.314,0.335,0.308,77,0.8,-30.2,35.2,4.2,1011291
Fred Hatfield,- - -,722,2362,493,25,259,165,15,10.50%,10.50%,0.079,0.264,0.242,0.332,0.321,0.307,80,-0.6,-59.4,23.6,4.2,1005489
Hobie Landrith,- - -,772,2227,450,34,179,203,5,11.40%,8.40%,0.094,0.241,0.233,0.32,0.327,0.293,74,-2.7,-74.2,46.6,4.2,1007300
Claude Osteen,- - -,551,1220,207,8,90,76,2,3.30%,23.90%,0.061,0.246,0.188,0.217,0.249,0.213,35,0.3,-90.8,89.6,4.2,1009878
Russ Wrightstone,- - -,929,3283,889,60,427,425,35,6.50%,4.60%,0.134,0.298,0.297,0.349,0.431,0.36,95,2.8,-17.3,-48.4,4.1,1014294
Estel Crabtree,- - -,489,1554,396,13,174,142,8,7.30%,7.00%,0.101,0.298,0.281,0.339,0.382,0.337,101,1.1,0.8,-9.5,4.1,1002714
Ray Demmitt,- - -,497,1870,419,8,205,165,42,9.20%,8.90%,0.093,0.289,0.257,0.334,0.349,0.335,106,-8.4,2,-28.9,4.1,1003196
Rip Williams,- - -,498,1351,314,2,111,145,27,7.00%,9.40%,0.087,0.293,0.265,0.328,0.352,0.33,98,-2.5,-6.6,-1.1,4.1,1014033
Terry Crowley,- - -,865,1768,379,42,174,229,3,12.60%,10.20%,0.125,0.257,0.25,0.345,0.375,0.329,108,0.8,16.5,-32.5,4.1,1002829
Fred Whitfield,- - -,817,2465,578,108,242,356,7,5.60%,15.10%,0.19,0.258,0.253,0.298,0.443,0.324,106,-3.9,11.3,-45.2,4.1,1013898
John Ellis,- - -,883,2915,699,69,259,391,6,6.50%,13.80%,0.131,0.283,0.262,0.312,0.392,0.317,98,-2,-11.2,-45.5,4.1,1003750
Rich Amaral,- - -,727,2022,493,11,305,159,112,8.70%,13.70%,0.076,0.319,0.276,0.344,0.351,0.317,86,5.4,-31.3,3.4,4.1,1000205
Ryan Langerhans,- - -,597,1474,283,33,177,125,11,13.00%,26.30%,0.145,0.298,0.226,0.333,0.371,0.312,88,3.9,-19.6,12.2,4.1,98
Stan Rojek,- - -,522,1959,470,4,225,122,32,7.80%,5.10%,0.06,0.281,0.266,0.327,0.326,0.312,73,4.8,-61.2,38.2,4.1,1011155
David Green,- - -,489,1505,374,31,168,180,68,5.60%,18.50%,0.127,0.311,0.268,0.308,0.394,0.311,95,-0.4,-8.7,-0.2,4.1,1004990
Travis d'Arnaud,Mets,342,1283,284,39,134,133,1,8.00%,17.10%,0.157,0.269,0.244,0.309,0.402,0.309,97,-3.6,-8.9,7.6,4.1,7739
Ron Woods,- - -,582,1459,290,26,162,130,27,12.00%,11.70%,0.109,0.25,0.233,0.326,0.342,0.309,90,-0.9,-18.1,11.5,4.1,1014243
Gene Clines,- - -,870,2556,645,5,314,187,71,6.60%,11.40%,0.064,0.313,0.277,0.329,0.341,0.308,90,-0.2,-28.8,-15.2,4.1,1002353
Keith Lockhart,- - -,979,2529,591,44,290,268,30,7.70%,10.60%,0.125,0.275,0.261,0.319,0.385,0.308,80,-0.8,-67.7,24.1,4.1,1380
Steve Brye,- - -,697,2184,515,30,237,193,16,6.60%,12.60%,0.107,0.285,0.258,0.309,0.365,0.308,90,-1.6,-25.2,-3.5,4.1,1001610
Joe Ginsberg,- - -,695,1986,414,20,168,182,7,11.40%,6.80%,0.079,0.25,0.241,0.332,0.32,0.306,81,0.7,-47.2,24,4.1,1004742
John Knight,- - -,767,2988,636,14,301,270,86,7.10%,9.50%,0.07,0.265,0.239,0.3,0.309,0.3,84,-2.1,-53.9,-4.8,4.1,1007041
Duane Josephson,- - -,470,1631,388,23,147,164,4,5.60%,10.70%,0.1,0.276,0.258,0.303,0.358,0.3,88,-2.3,-22.4,13.2,4.1,1006627
Larry Kopf,- - -,853,3382,750,5,349,266,72,7.20%,6.30%,0.053,0.267,0.249,0.312,0.302,0.299,80,-7.5,-88,9.5,4.1,1007105
Urban Shocker,- - -,411,1046,167,1,89,70,1,13.30%,20.20%,0.04,0.283,0.209,0.334,0.249,0.297,63,-0.3,-50,55.3,4.1,1011918
Frank House,- - -,653,2187,494,47,202,235,6,6.90%,6.70%,0.114,0.246,0.248,0.302,0.362,0.296,75,-0.3,-65.5,36.6,4.1,1006059
Everett Mills,- - -,337,1538,433,2,283,203,9,0.80%,0.80%,0.071,0.285,0.284,0.29,0.355,0.293,99,-2.9,-4.5,-2,4.1,1008956
Barry McCormick,- - -,989,4029,867,15,433,417,130,6.90%,15.20%,0.066,0.262,0.238,0.297,0.303,0.292,75,0.1,-139.2,33.7,4.1,1008410
Martin Maldonado,- - -,439,1393,275,39,117,140,2,8.00%,24.00%,0.135,0.273,0.223,0.301,0.358,0.288,77,-6.8,-44.4,40.2,4.1,6887
Everth Cabrera,- - -,510,2068,450,12,228,132,138,8.50%,20.90%,0.081,0.314,0.246,0.315,0.328,0.288,83,17.5,-24.5,-0.7,4.1,8155
Alex Cora,- - -,1273,3825,828,35,360,286,47,6.50%,11.10%,0.095,0.267,0.243,0.31,0.338,0.287,72,8.1,-126.4,41.1,4.1,1386
Dave Anderson,- - -,873,2287,490,19,244,143,49,9.00%,14.50%,0.076,0.279,0.242,0.312,0.318,0.287,82,-2.8,-51.4,15.5,4.1,1000223
Joe Quest,- - -,596,2402,499,1,300,161,5,4.30%,9.10%,0.05,0.241,0.217,0.252,0.268,0.243,77,-0.5,-80.8,36.8,4.1,1010594
Reggie Jefferson,- - -,680,2306,637,72,285,300,2,6.30%,19.60%,0.174,0.35,0.3,0.349,0.474,0.356,110,-1.7,30.7,-68.3,4,1006381
Cliff Bolton,- - -,335,1078,280,6,113,143,3,10.20%,4.60%,0.107,0.302,0.291,0.366,0.398,0.356,99,-1.2,-3.9,7.2,4,1001153
Jim Gleeson,- - -,392,1471,336,16,195,154,20,10.70%,10.00%,0.128,0.287,0.263,0.35,0.391,0.345,103,2.8,8.3,-13.9,4,1004773
Stephen Piscotty,Cardinals,285,1178,284,35,144,155,12,9.10%,20.70%,0.174,0.323,0.272,0.348,0.446,0.343,114,-7.6,12.6,-11.5,4,13367
Clyde Vollmer,- - -,685,2285,508,69,283,339,7,10.60%,14.40%,0.15,0.27,0.251,0.335,0.402,0.342,95,-0.1,-13.3,-22,4,1013449
Sam Mele,- - -,1046,3796,916,80,406,544,15,8.20%,9.00%,0.141,0.276,0.267,0.328,0.408,0.338,96,-1.3,-21.7,-64.1,4,1008747
Armando Rios,- - -,419,1153,275,36,135,167,14,10.00%,17.90%,0.175,0.303,0.269,0.341,0.445,0.338,102,-3.7,0.7,3.3,4,1006
Rube Ellis,Cardinals,555,2267,517,13,279,199,56,9.50%,10.40%,0.083,0.287,0.26,0.336,0.344,0.334,99,-5.8,-10.4,-29.1,4,1003752
Lefty Davis,- - -,348,1510,338,3,232,110,65,11.10%,,0.061,,0.261,0.348,0.322,0.329,102,1.6,7,-18,4,1003066
Randy Moore,- - -,749,2444,627,27,258,308,11,6.50%,3.50%,0.1,0.28,0.278,0.326,0.378,0.326,95,1.1,-17.6,-23,4,1009124
Ricky Jordan,- - -,677,2221,592,55,261,305,10,3.50%,13.60%,0.143,0.303,0.281,0.308,0.424,0.322,100,-0.9,-1.5,-33.2,4,1006615
Charlie Berry,- - -,709,2217,539,23,196,256,13,7.20%,8.80%,0.107,0.287,0.267,0.322,0.374,0.321,81,-0.3,-59,20.3,4,1000902
Chet Chadbourne,- - -,347,1552,345,2,183,82,78,9.40%,5.70%,0.061,0.269,0.255,0.333,0.316,0.32,94,11.4,0.5,-10.2,4,1002110
Eddie Rosario,Twins,303,1151,298,33,151,113,20,3.90%,23.80%,0.175,0.336,0.274,0.302,0.449,0.318,97,10.5,6.3,-6.3,4,12155
Billy O'Brien,- - -,356,1491,364,32,164,206,26,4.00%,8.60%,0.14,0.249,0.256,0.289,0.395,0.315,100,-10.3,-6.8,-0.7,4,1009682
Jeff Keppinger,- - -,818,3156,814,45,324,295,12,6.30%,6.80%,0.102,0.29,0.282,0.329,0.384,0.315,92,-21.2,-49.4,-12.6,4,3856
Jesse Tannehill,- - -,506,1549,361,5,189,141,19,6.80%,23.10%,0.082,0,0.256,0.311,0.338,0.314,91,-6.3,-25.9,8.4,4,1012822
Franklin Stubbs,- - -,945,2899,602,104,323,348,74,9.00%,21.60%,0.172,0.265,0.232,0.303,0.404,0.312,95,3.1,-13.7,-43,4,1012643
Brock Holt,- - -,394,1519,367,13,190,124,26,8.10%,18.80%,0.098,0.33,0.27,0.331,0.368,0.31,90,13.8,-3.9,-9.1,4,9345
Harry Craft,Reds,566,2245,533,44,237,267,14,4.90%,9.00%,0.127,0.263,0.253,0.294,0.38,0.309,83,2,-42.5,15.6,4,1002718
Tim Laudner,Twins,734,2268,458,77,221,263,3,8.40%,24.40%,0.166,0.268,0.225,0.292,0.391,0.305,83,-1.2,-46.5,9.3,4,1007381
Joe Sugden,- - -,835,3068,696,3,303,283,48,7.20%,4.40%,0.048,0.314,0.255,0.319,0.303,0.305,81,-13.4,-90.7,21,4,1012672
Kelly Stinnett,- - -,734,2290,476,65,228,230,10,8.60%,24.80%,0.145,0.292,0.234,0.313,0.379,0.304,77,-2.3,-71.9,36.5,4,356
Curry Foley,- - -,305,1339,373,6,192,128,,2.50%,6.20%,0.076,0.302,0.286,0.304,0.362,0.303,110,0,18.1,-23,4,1004195
Endy Chavez,- - -,1151,3436,849,30,385,266,106,5.20%,10.40%,0.095,0.294,0.27,0.308,0.364,0.295,76,8.2,-94,22.6,4,768
Beau Bell,- - -,767,3023,806,46,378,437,11,9.00%,7.90%,0.135,0.312,0.297,0.362,0.432,0.365,97,-4.5,-15.9,-52.2,3.9,1000797
Harry McCurdy,- - -,543,1314,326,9,148,148,12,9.80%,8.20%,0.105,0.305,0.282,0.355,0.387,0.347,92,-1.4,-15.3,10,3.9,1008439
Bernie Friberg,- - -,1299,4795,1170,38,544,471,51,9.80%,10.40%,0.092,0.312,0.281,0.356,0.373,0.343,87,-11.1,-92.2,-24.1,3.9,1004347
Claude Cooper,- - -,373,1246,283,4,156,104,60,9.60%,13.10%,0.096,0.303,0.26,0.338,0.356,0.338,102,9.7,12.8,-13.7,3.9,1002593
Bobby Kielty,- - -,599,2084,456,53,257,253,21,11.80%,17.90%,0.154,0.291,0.254,0.348,0.408,0.332,101,3.2,4.4,-36.8,3.9,736
Billy Conigliaro,- - -,347,1239,289,40,142,128,9,6.90%,19.70%,0.173,0.291,0.256,0.311,0.429,0.332,103,-1.8,3.6,-3.7,3.9,1002501
Fred Valentine,- - -,533,1659,360,36,180,138,47,9.40%,13.70%,0.126,0.27,0.247,0.33,0.373,0.32,109,4.2,19.7,-30.8,3.9,1013328
Bobby Del Greco,- - -,731,2323,454,42,271,169,16,11.70%,16.00%,0.123,0.261,0.229,0.33,0.352,0.314,87,-1.6,-37.7,6.4,3.9,1003172
Dave Gallagher,- - -,794,2343,564,17,273,190,20,8.00%,10.70%,0.082,0.299,0.271,0.331,0.353,0.311,91,-6.2,-30.9,-9,3.9,1004448
Wayne Krenchicki,- - -,550,1195,283,15,107,124,7,8.90%,11.80%,0.093,0.291,0.266,0.33,0.359,0.309,91,-1.9,-14.8,14.2,3.9,1007158
Monk Cline,- - -,234,1021,247,2,167,72,31,6.80%,3.20%,0.073,0.315,0.261,0.315,0.334,0.306,107,0.8,12.4,-7.8,3.9,1002354
Tom Goodwin,- - -,1288,4315,1029,24,636,284,369,8.50%,15.30%,0.072,0.316,0.268,0.332,0.339,0.304,74,27.3,-118,8.1,3.9,1114
Mike Tresh,- - -,1027,3637,788,2,326,297,19,11.10%,7.20%,0.034,0.271,0.249,0.335,0.283,0.303,76,-6.7,-114,29.5,3.9,1013178
Luis Matos,- - -,508,1773,410,30,212,140,72,6.10%,16.80%,0.12,0.295,0.255,0.312,0.375,0.303,82,11,-30.1,7.5,3.9,152
Al Burch,- - -,611,2412,554,4,254,103,96,7.70%,9.20%,0.046,0.258,0.254,0.312,0.299,0.303,92,1.9,-21.3,-23.2,3.9,1001656
