Name,Team,G,PA,H,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Reggie Smith,- - -,1987,8050,2020,314,1123,1092,137,11.10%,12.80%,0.202,0.295,0.287,0.366,0.489,0.379,137,-2.5,331.7,25.5,64.6,1012201
Jim Edmonds,- - -,2011,7980,1949,393,1251,1199,67,12.50%,21.70%,0.243,0.324,0.284,0.376,0.527,0.385,132,-8,317.7,73.3,64.5,1153
Lou Boudreau,- - -,1646,7023,1779,68,861,789,51,11.30%,4.40%,0.12,0.303,0.295,0.38,0.415,0.375,122,-12.1,174.6,212.5,64.5,1001234
Goose Goslin,- - -,2287,9822,2735,248,1483,1609,175,9.70%,6.00%,0.184,0.318,0.316,0.387,0.5,0.402,127,-1.3,354.3,-43.2,64,1004893
Chase Utley,- - -,1803,7566,1824,256,1070,1001,149,9.30%,15.10%,0.193,0.298,0.277,0.36,0.47,0.359,120,72.1,260.1,131.1,64,1679
Mike Piazza,- - -,1912,7745,2127,427,1048,1335,17,9.80%,14.40%,0.237,0.314,0.308,0.377,0.545,0.39,140,-31.6,370.1,32.7,63.7,893
Yogi Berra,- - -,2120,8364,2150,358,1175,1430,30,8.40%,4.90%,0.198,0.262,0.285,0.348,0.482,0.37,124,-1,244.2,109.7,63.7,1000898
Alan Trammell,Tigers,2293,9376,2365,185,1231,1003,236,9.10%,9.30%,0.13,0.298,0.285,0.352,0.415,0.343,111,2.3,124.1,184.4,63.7,1013157
Roberto Alomar,- - -,2379,10400,2724,210,1508,1134,474,9.90%,11.00%,0.143,0.321,0.3,0.371,0.443,0.359,118,41.6,272.5,15.8,63.6,860
Duke Snider,- - -,2143,8237,2116,407,1259,1333,99,11.80%,15.00%,0.244,0.308,0.295,0.38,0.54,0.404,139,3.6,403.7,-45.7,63.5,1012230
Sherry Magee,- - -,2087,8546,2169,83,1112,1176,441,8.60%,7.00%,0.135,0.308,0.291,0.364,0.427,0.381,134,33.2,352.5,-65.1,63.4,1007965
Ernie Banks,Cubs,2528,10395,2583,512,1305,1636,50,7.30%,11.90%,0.225,0.267,0.274,0.33,0.5,0.359,118,-7.1,221,48,63.3,1000512
Zack Wheat,- - -,2410,9996,2884,132,1289,1248,205,6.50%,5.70%,0.134,0.327,0.317,0.367,0.45,0.384,128,1.8,334.2,-55.2,63.1,1013828
Willie Stargell,Pirates,2360,9026,2232,475,1195,1540,17,10.40%,21.40%,0.247,0.314,0.282,0.36,0.529,0.387,145,-0.8,457.5,-185,62.9,1012426
Bid McPhee,Red Stockings,2135,9409,2250,53,1678,1067,568,10.40%,4.90%,0.101,0.29,0.271,0.355,0.372,0.35,108,30,143.5,193.1,62.7,1008675
